,,,,,,Optimization Technique,,,Training Time (seconds),,,Accuracy (%),,Memory Usage (MB),,Epochs
,,,,,,cpu,,,162.04,,,68.13,,662.47,,10
,,,,,,g-initial,,,404.15,,,61.02,,994.33,,10
,,,,,,g-torch.cuda.amp,,,526.15,,,62.47,,1062.43,,10
,,,,,,g-b32-w4,,,66.44,,,60.39,,977.11,,10
,,,,,,g-b16-w4,,,113.21,,,64.91,,988.84,,10
,,,,,,g-b16-w8,,,109.48,,,62.77,,994.29,,10
,,,,,,in-cpu,,,412,,,72.56,,779.27,,10
,,,,,,in-g-initial,,,354.06,,,71.9,,1007.84,,10
,,,,,,in-g-b32-w4-,,,55.63,,,69.7,,1038.15,,10
,,,,,,in-g-b16-w4,,,91.81,,,72.72,,1044.54,,10
,,,,,,in-g-b16-w8,,,94.36,,,71.84,,1047.11,,10
,,,,,,in-g-b64-w15,,,29.66,,,68.27,,1056.15,,10
,,,,,,in-g-b128-w15,,,19.68,,,56.12,,1038.43,,10
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
"											",,,,,,,,,,,,,,,,
